Timestamp;% CPU (global);% CPU (user);% CPU (system);;;;
5;1.50;1.00;0.30;;;;
10;1.70;1.20;0.30;;global media;user media;system media
15;0.90;0.50;0.20;;0.976944444;0.553333333;0.276388889
20;1.00;0.70;0.20;;;;
25;0.80;0.60;0.20;;;;
30;0.80;0.60;0.20;;;;
35;1.00;0.60;0.20;;;;
40;1.00;0.60;0.30;;;;
45;1.00;0.60;0.20;;;;
50;0.80;0.60;0.10;;;;
55;0.90;0.50;0.20;;;;
60;0.80;0.50;0.20;;;;
65;0.90;0.60;0.20;;;;
70;0.80;0.50;0.20;;;;
75;1.20;0.90;0.20;;;;
80;0.80;0.60;0.10;;;;
85;1.00;0.60;0.30;;;;
90;0.80;0.60;0.20;;;;
95;0.90;0.50;0.20;;;;
100;0.90;0.50;0.30;;;;
105;0.90;0.60;0.20;;;;
110;1.00;0.60;0.20;;;;
115;1.00;0.70;0.20;;;;
120;2.70;2.20;0.30;;;;
125;0.80;0.50;0.20;;;;
130;0.90;0.60;0.20;;;;
135;0.80;0.50;0.20;;;;
140;0.90;0.60;0.10;;;;
145;0.90;0.50;0.30;;;;
150;1.00;0.60;0.30;;;;
155;0.90;0.60;0.20;;;;
160;0.80;0.50;0.30;;;;
165;1.00;0.60;0.30;;;;
170;1.10;0.70;0.20;;;;
175;1.00;0.70;0.20;;;;
180;0.90;0.60;0.20;;;;
185;0.90;0.60;0.20;;;;
190;0.90;0.50;0.30;;;;
195;0.90;0.60;0.20;;;;
200;1.30;0.90;0.20;;;;
205;0.90;0.60;0.10;;;;
210;0.80;0.50;0.20;;;;
215;1.40;0.70;0.40;;;;
220;0.90;0.60;0.20;;;;
225;1.00;0.60;0.30;;;;
230;1.00;0.50;0.30;;;;
235;1.00;0.50;0.40;;;;
240;0.90;0.60;0.20;;;;
245;1.20;0.80;0.20;;;;
250;0.90;0.60;0.10;;;;
255;1.10;0.60;0.30;;;;
260;0.90;0.50;0.20;;;;
265;1.50;1.10;0.40;;;;
270;1.80;1.30;0.30;;;;
275;0.90;0.60;0.20;;;;
280;0.90;0.60;0.20;;;;
285;1.00;0.50;0.30;;;;
290;1.00;0.60;0.20;;;;
295;0.90;0.60;0.20;;;;
300;0.90;0.50;0.30;;;;
305;0.90;0.60;0.20;;;;
310;0.90;0.50;0.20;;;;
315;1.00;0.60;0.30;;;;
320;1.00;0.60;0.20;;;;
325;1.00;0.50;0.30;;;;
330;0.70;0.50;0.20;;;;
335;1.30;1.00;0.20;;;;
340;1.10;0.60;0.20;;;;
345;0.90;0.60;0.20;;;;
350;0.90;0.60;0.20;;;;
355;1.00;0.60;0.20;;;;
360;0.90;0.50;0.30;;;;
365;0.80;0.50;0.20;;;;
370;0.90;0.50;0.30;;;;
375;0.80;0.50;0.20;;;;
380;0.80;0.50;0.20;;;;
385;1.10;0.70;0.20;;;;
390;0.80;0.60;0.20;;;;
395;1.00;0.60;0.20;;;;
400;1.00;0.60;0.20;;;;
405;0.90;0.60;0.20;;;;
410;1.00;0.60;0.30;;;;
415;0.90;0.50;0.20;;;;
420;0.80;0.50;0.20;;;;
425;1.10;0.70;0.20;;;;
430;1.00;0.70;0.20;;;;
435;1.00;0.60;0.30;;;;
440;0.90;0.50;0.20;;;;
445;1.00;0.60;0.20;;;;
450;0.90;0.60;0.20;;;;
455;0.90;0.60;0.20;;;;
460;0.80;0.50;0.20;;;;
465;1.40;1.00;0.30;;;;
470;0.90;0.50;0.30;;;;
475;0.90;0.60;0.20;;;;
480;0.70;0.50;0.20;;;;
485;0.80;0.50;0.20;;;;
490;0.90;0.50;0.20;;;;
495;0.90;0.60;0.20;;;;
500;0.80;0.50;0.20;;;;
505;1.00;0.60;0.20;;;;
510;1.00;0.70;0.20;;;;
515;1.00;0.60;0.20;;;;
520;0.90;0.60;0.20;;;;
525;0.90;0.60;0.20;;;;
530;0.80;0.50;0.20;;;;
535;1.10;0.70;0.30;;;;
540;1.00;0.60;0.30;;;;
545;1.00;0.60;0.20;;;;
550;0.80;0.50;0.10;;;;
555;0.90;0.60;0.20;;;;
560;0.90;0.60;0.20;;;;
565;2.30;1.60;0.40;;;;
570;1.10;0.70;0.20;;;;
575;0.90;0.50;0.20;;;;
580;1.00;0.70;0.20;;;;
585;0.90;0.50;0.20;;;;
590;1.00;0.70;0.20;;;;
595;1.10;0.70;0.30;;;;
