Timestamp;% Memoria utilizada;Capacidad disponible;Capacidad utilizada;;;;
15;14.12350376;13803180;2270112;;;;
30;14.12350376;13803180;2270112;;Cap. Disponible;Cap. Utilizada;% Mem. Utilizada
45;14.12489738;13802956;2270336;;#¡REF!;10866993.03;5206298.967
60;14.13883354;13800716;2272576;;;;
75;14.14040136;13800464;2272828;;;;
90;14.14040136;13800464;2272828;;;;
105;14.14040136;13800464;2272828;;;;
120;14.14353699;13799960;2273332;;;;
135;25.45079129;11982512;4090780;;;;
150;35.0420561;10440880;5632412;;;;
165;32.94299637;10778268;5295024;;;;
180;32.81152361;10799400;5273892;;;;
195;32.68686962;10819436;5253856;;;;
210;32.61106686;10831620;5241672;;;;
225;32.62569983;10829268;5244024;;;;
240;32.63490765;10827788;5245504;;;;
255;32.64588237;10826024;5247268;;;;
270;32.63490765;10827788;5245504;;;;
285;32.59705604;10833872;5239420;;;;
300;32.59548822;10834124;5239168;;;;
315;32.58764913;10835384;5237908;;;;
330;32.50311137;10848972;5224320;;;;
345;32.50467919;10848720;5224572;;;;
360;32.51134864;10847648;5225644;;;;
375;32.51761991;10846640;5226652;;;;
390;32.53359673;10844072;5229220;;;;
405;32.53516455;10843820;5229472;;;;
420;32.53516455;10843820;5229472;;;;
435;32.63856589;10827200;5246092;;;;
450;32.78083917;10804332;5268960;;;;
465;32.7573219;10808112;5265180;;;;
480;32.74791499;10809624;5263668;;;;
495;32.51117444;10847676;5225616;;;;
510;32.51117444;10847676;5225616;;;;
525;32.51117444;10847676;5225616;;;;
540;32.45030327;10857460;5215832;;;;
555;32.45187109;10857208;5216084;;;;
570;32.45343891;10856956;5216336;;;;
585;32.45343891;10856956;5216336;;;;
600;32.43340568;10860176;5213116;;;;
615;32.43810913;10859420;5213872;;;;
630;32.43967695;10859168;5214124;;;;
645;32.44281259;10858664;5214628;;;;
660;32.46476204;10855136;5218156;;;;
675;32.46476204;10855136;5218156;;;;
690;32.46476204;10855136;5218156;;;;
705;32.46476204;10855136;5218156;;;;
720;32.4867115;10851608;5221684;;;;
735;32.5507183;10841320;5231972;;;;
750;32.55465029;10840688;5232604;;;;
765;32.55131556;10841224;5232068;;;;
780;32.47812583;10852988;5220304;;;;
795;32.52516037;10845428;5227864;;;;
810;32.52804715;10844964;5228328;;;;
825;32.55156442;10841184;5232108;;;;
840;32.51864024;10846476;5226816;;;;
855;32.5155046;10846980;5226312;;;;
870;32.5155046;10846980;5226312;;;;
885;32.5155046;10846980;5226312;;;;
900;32.5155046;10846980;5226312;;;;
915;32.51707242;10846728;5226564;;;;
930;32.51707242;10846728;5226564;;;;
945;32.51707242;10846728;5226564;;;;
960;32.51707242;10846728;5226564;;;;
975;32.52804715;10844964;5228328;;;;
990;32.52804715;10844964;5228328;;;;
1005;32.52804715;10844964;5228328;;;;
1020;32.52804715;10844964;5228328;;;;
1035;32.57351388;10837656;5235636;;;;
1050;32.59372131;10834408;5238884;;;;
1065;32.59372131;10834408;5238884;;;;
1080;32.59372131;10834408;5238884;;;;
1095;32.6061892;10832404;5240888;;;;
1110;32.61716393;10830640;5242652;;;;
1125;32.62029956;10830136;5243156;;;;
1140;32.62186738;10829884;5243408;;;;
1155;32.61716393;10830640;5242652;;;;
1170;32.5425308;10842636;5230656;;;;
1185;32.54549224;10842160;5231132;;;;
1200;32.54549224;10842160;5231132;;;;
1215;32.54703517;10841912;5231380;;;;
1230;32.56428117;10839140;5234152;;;;
1245;32.56584899;10838888;5234404;;;;
1260;32.56898462;10838384;5234908;;;;
1275;32.56898462;10838384;5234908;;;;
1290;32.58309499;10836116;5237176;;;;
1305;32.58309499;10836116;5237176;;;;
1320;32.58309499;10836116;5237176;;;;
1335;32.58772378;10835372;5237920;;;;
1350;32.5530327;10840948;5232344;;;;
1365;32.5530327;10840948;5232344;;;;
1380;32.5530327;10840948;5232344;;;;
1395;32.55616833;10840444;5232848;;;;
1410;32.56868599;10838432;5234860;;;;
