Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada;;;
1;10405932;895244;7.921688858;;;
2;10406788;894388;7.914114425;;;
3;10406260;894916;7.918786505;;;
4;10406352;894824;7.91797243;;;
5;10406384;894792;7.917689274;;;
6;10406384;894792;7.917689274;;;
7;10406384;894792;7.917689274;;;
8;10406384;894792;7.917689274;;;
9;10406384;894792;7.917689274;;;
10;10406384;894792;7.917689274;;;
11;10406424;894752;7.917335329;;;
12;10406524;894652;7.916450465;;;
13;10406260;894916;7.918786505;;;
14;10406260;894916;7.918786505;;;
15;10406260;894916;7.918786505;;;
16;10406260;894916;7.918786505;;;
17;10406260;894916;7.918786505;;;
18;10406260;894916;7.918786505;;;
19;10406268;894908;7.918715716;;;
20;10406268;894908;7.918715716;;;
21;10406368;894808;7.917830852;;;
22;10406368;894808;7.917830852;;;
23;10406204;894972;7.919282029;;;
24;10406268;894908;7.918715716;;;
25;10406260;894916;7.918786505;;;
26;10406260;894916;7.918786505;;;
27;10406260;894916;7.918786505;;;
28;10405880;895296;7.922148987;;;
29;10406152;895024;7.919742158;;;
30;10406136;895040;7.919883736;;;
31;10406136;895040;7.919883736;;;
32;10405752;895424;7.923281612;;;
33;10406020;895156;7.920910178;;;
34;10405892;895284;7.922042803;;;
35;10405892;895284;7.922042803;;;
36;10406012;895164;7.920980967;;;
37;10406004;895172;7.921051756;;;
38;10406004;895172;7.921051756;;;
39;10405896;895280;7.922007409;;;
40;10405772;895404;7.92310464;;;
41;10405740;895436;7.923387796;;;
42;10405764;895412;7.923175429;;;
43;10405764;895412;7.923175429;;;
44;10405764;895412;7.923175429;;;
45;10405764;895412;7.923175429;;;
46;10405768;895408;7.923140034;;;
47;10405780;895396;7.923033851;;;
48;10405516;895660;7.925369891;;;
49;10405516;895660;7.925369891;;;
50;10405508;895668;7.92544068;;;
51;10405384;895792;7.926537911;;;
52;10405740;895436;7.923387796;;;
53;10405772;895404;7.92310464;;;
54;10405384;895792;7.926537911;;;
55;10405384;895792;7.926537911;;;
56;10405384;895792;7.926537911;;;
57;10405384;895792;7.926537911;;;
58;10405384;895792;7.926537911;;;
59;10405384;895792;7.926537911;;;
60;10405384;895792;7.926537911;;;
61;10405384;895792;7.926537911;;;
62;10405744;895432;7.923352402;;;
63;10405904;895272;7.92193662;;;
64;10405388;895788;7.926502516;;;
65;10405516;895660;7.925369891;;;
66;10405516;895660;7.925369891;;;
67;10405876;895300;7.922184382;;;
68;10406020;895156;7.920910178;;;
69;10406136;895040;7.919883736;;;
70;10406144;895032;7.919812947;;;
71;10405652;895524;7.924166476;;;
72;10405756;895420;7.923246218;;;
73;10405756;895420;7.923246218;;;
74;10405756;895420;7.923246218;;;
75;10405756;895420;7.923246218;;;
76;10405756;895420;7.923246218;;;
77;10405756;895420;7.923246218;;;
78;10405756;895420;7.923246218;;;
79;10405756;895420;7.923246218;;;
80;10405756;895420;7.923246218;;;
81;10405756;895420;7.923246218;;;
82;10405756;895420;7.923246218;;;
83;10405756;895420;7.923246218;;;
84;10405756;895420;7.923246218;;;
85;10405748;895428;7.923317007;;;
86;10405748;895428;7.923317007;;;
87;10405748;895428;7.923317007;;;
88;10405748;895428;7.923317007;;;
89;10405748;895428;7.923317007;;;
90;10405880;895296;7.922148987;;;
91;10405880;895296;7.922148987;;;
92;10405984;895192;7.921228729;;;
93;10405996;895180;7.921122545;;;
94;10406004;895172;7.921051756;;;
95;10405960;895216;7.921441096;;;
96;10405952;895224;7.921511885;;;
97;10406116;895060;7.920060709;;;
98;10406128;895048;7.919954525;;;
99;10406136;895040;7.919883736;;;
100;10406220;894956;7.919140451;;;
101;10406392;894784;7.917618485;;;
102;10406392;894784;7.917618485;;;
103;10406188;894988;7.919423607;;;
104;10406252;894924;7.918857294;;;
105;10406252;894924;7.918857294;;;
106;10406252;894924;7.918857294;;;
107;10406252;894924;7.918857294;;;
108;10406128;895048;7.919954525;;;
109;10406128;895048;7.919954525;;;
110;10406128;895048;7.919954525;;;
111;10406128;895048;7.919954525;;;
112;10406128;895048;7.919954525;;;
113;10406128;895048;7.919954525;;;
114;10405700;895476;7.923741742;;;
115;10405772;895404;7.92310464;;;
116;10405384;895792;7.926537911;;;
117;10405384;895792;7.926537911;;;
118;10405384;895792;7.926537911;;;
119;10405392;895784;7.926467122;;;
120;10405392;895784;7.926467122;;;
121;10405392;895784;7.926467122;;;
122;10405268;895908;7.927564353;;;
123;10405268;895908;7.927564353;;;
124;10405260;895916;7.927635142;;;
125;10405260;895916;7.927635142;;;
126;10405260;895916;7.927635142;;;
127;10405260;895916;7.927635142;;;
128;10405400;895776;7.926396333;;;
129;10405400;895776;7.926396333;;;
130;10405384;895792;7.926537911;;;
131;10405384;895792;7.926537911;;;
132;10405384;895792;7.926537911;;;
133;10405384;895792;7.926537911;;;
134;10405384;895792;7.926537911;;;
135;10405384;895792;7.926537911;;;
136;10405384;895792;7.926537911;;;
137;10405392;895784;7.926467122;;;
138;10405392;895784;7.926467122;;;
139;10405392;895784;7.926467122;;;
140;10405384;895792;7.926537911;;;
141;10405400;895776;7.926396333;;;
142;10405400;895776;7.926396333;;;
143;10405496;895680;7.925546863;;;
144;10405496;895680;7.925546863;;;
145;10405496;895680;7.925546863;;;
146;10405508;895668;7.92544068;;;
147;10405508;895668;7.92544068;;;
148;10405508;895668;7.92544068;;;
149;10405508;895668;7.92544068;;;
150;10405508;895668;7.92544068;;;
151;10405508;895668;7.92544068;;;
152;10405508;895668;7.92544068;;;
153;10405276;895900;7.927493564;;;
154;10405276;895900;7.927493564;;;
155;10405012;896164;7.929829604;;;
156;10405020;896156;7.929758814;;;
157;10405012;896164;7.929829604;;;
158;10405012;896164;7.929829604;;;
159;10405012;896164;7.929829604;;;
160;10405012;896164;7.929829604;;;
161;10405524;895652;7.925299102;;;
162;10405524;895652;7.925299102;;;
163;10405524;895652;7.925299102;;;
164;10405320;895856;7.927104223;;;
165;10405384;895792;7.926537911;;;
