size,hour,MB/s
2100714,01,496.189
2020644,01,508.32
2020644,01,1255.686
2020644,01,667.835
2020644,01,1056.871
2020644,01,1056.472
2020644,02,1167.738
2020644,02,824.63
2100714,02,989.866
2020644,02,919.873
2020644,02,783.187
2020644,02,1244.502
2020644,02,1283.472
2020644,02,1175.875
2020644,02,764.408
2100714,02,1265.162
2100714,02,1168.018
2020644,02,592.663
2100714,02,865.676
2100714,02,1255.613
2020644,02,1032.353
2891887,02,1106.648
2082593,02,984.802
2082593,03,515.609
2100714,03,1105.378
2100714,03,763.761
2020644,03,652.561
2020644,03,662.45
2020644,03,1104.583
2100714,03,678.679
2020644,03,620.928
2020644,03,465.918
2020644,03,883.503
2020644,03,587.835
2020644,03,992.582
2020644,03,1282.829
2020644,03,606.373
2020644,03,662.932
2020644,03,835.569
2020644,03,695.669
2020644,03,747.842
2020644,03,738.436
2020644,03,939.109
2020644,03,1164.411
2020644,03,619.781
2020644,03,738.358
2100714,03,808.669
2020644,03,574.884
2020644,03,465.582
2020644,03,1235.483
2020644,04,553.482
2082593,04,605.596
2020644,04,793.979
2020644,04,1074.132
2020644,04,525.578
2891887,04,663.334
2891887,04,1079.786
2020644,04,944.55
2020644,04,1103.369
2100714,04,779.322
2891887,04,840.831
2100714,04,791.659
2020644,05,1219.808
2100714,05,844.346
2100714,05,502.326
2020644,05,472.581
2020644,05,1263.186
2020644,05,1116.878
2020644,05,1157.546
2020644,05,637.851
2020644,05,1349.261
