size,hour,MB/s
1352226,01,928.17
1352226,01,1271.581
1610560,01,1160.52
1419393,01,619.883
1610560,01,941.176
1419393,01,1162.99
1610560,01,1214.489
1610560,01,1346.406
1419393,01,546.792
1272120,01,1278.174
1272120,01,1054.006
1610560,01,751.054
1610560,01,705.498
1610560,01,844.353
1610560,01,825.768
1419393,01,1159.357
1610560,01,698.139
1610560,01,860.986
1610560,01,1354.616
1419393,01,618.457
1419393,01,650.644
1610560,01,610.272
1452881,01,775.808
1610560,01,807.658
1610560,01,1036.595
1419393,01,585.228
1272120,01,573.719
1610560,01,987.967
1610560,01,1242.061
1610560,01,1175.197
1610560,01,575.646
1610560,01,1208.356
1610560,01,1240.398
1419393,01,658.915
1610560,01,463.037
1610560,01,1259.904
1272120,01,1058.56
1419393,01,1334.228
1419393,01,971.821
1272120,01,540.82
1610560,01,982.089
1610560,01,1143.614
1610560,01,1277.898
1272120,01,730.727
1419393,01,1341.713
1610560,01,971.485
1610560,01,591.435
1610560,01,1192.533
1610560,01,525.146
1610560,01,551.015
1430982,01,1204.698
1610560,01,773.16
1272120,01,1107.991
1610560,01,867.952
1610560,01,1077.813
1272120,01,807.135
1272120,01,1291.045
1610560,01,937.443
1610560,01,1093.789
1610560,01,1107.52
1610560,01,640.038
1272120,01,983.111
1272120,01,610.731
1419393,01,965.494
1610560,01,507.744
1610560,01,636.012
1610560,01,787.731
1610560,01,1034.756
1610560,01,898.289
1610560,01,872.038
1610560,01,662.863
1272120,01,692.836
1352226,01,720.782
1272120,01,562.603
1272120,01,559.594
1272120,01,910.548
1272120,01,1245
1272120,01,633.512
1272120,01,532.327
1610560,01,623.098
1610560,01,1023.698
1610560,01,550.921
1610560,01,694.143
1610560,01,529.889
1610560,01,1077.855
1610560,01,1020.847
1610560,01,509.057
1610560,01,850.306
1272120,01,913.346
1606749,01,1261.673
1610560,02,886.75
1610560,02,601.914
1610560,02,797.644
1610560,02,739.09
1419393,02,1121.416
1610560,02,1070.447
1352226,02,487.236
1610560,02,1294.344
1610560,02,547.752
1610560,02,591.882
1610560,02,1183.194
1272120,02,1142.406
1610560,02,1084.887
1272120,02,553.461
1610560,02,1223.489
1610560,02,850.087
1419393,02,501.316
1610560,02,1090.857
1610560,02,1354.948
1610560,02,847.27
1352226,02,602.269
1352226,02,587.244
1610560,02,911.913
1272120,02,821.871
1610560,02,587.979
1610560,02,905.33
1610560,02,1330.801
1610560,02,1337.221
1610560,02,1091.959
1610560,02,699.228
1272120,02,1289.314
1272120,02,812.369
1419393,02,631.945
1272120,02,1199.496
1352226,02,627.819
1419393,02,1114.884
1272120,02,1222.38
1610560,02,1054.7
1610560,02,1123.116
1352226,02,604.229
1610560,02,1279.332
1610560,02,940.624
1610560,02,998.864
1610560,02,636.09
1352226,02,832.959
1272120,02,616.137
1610560,02,807.348
1610560,02,743.022
1610560,02,992.723
1610560,02,1304.124
1610560,02,898.449
1610560,02,512.612
1610560,02,1014.351
1610560,02,1110.78
1610560,02,510.025
1610560,02,1132.576
1610560,02,981.766
1272120,02,990.696
1610560,02,510.126
1272120,02,765.096
1610560,02,1295.718
1610560,02,737.291
1610560,02,1167.037
1610560,02,652.679
1419393,02,1272.789
1272120,02,971.596
1419393,02,1132
1610560,02,1286.73
1610560,02,863.106
1272120,02,891.274
1610560,02,557.552
1272120,02,746.999
1610560,02,1308.254
1610560,02,1221.943
1610560,02,1203.814
1610560,02,959.002
1272120,02,760.353
1499546,02,780.539
1419393,02,732.798
1610560,02,777.051
1610560,02,933.191
1610560,02,927.768
1610560,02,943.331
1610560,02,546.95
1610560,02,1070.619
1272120,02,820.074
1419393,02,637.567
1610560,02,1335.628
1610560,02,922.671
1272120,02,739.909
1499546,02,675.683
1610560,02,1068.362
1610560,02,1130.653
1610560,02,1062.692
1610560,02,676.833
1509821,02,819.89
1610560,02,849.588
1419393,02,1149.896
1610560,02,1107.418
1352226,02,1160.684
1499546,02,627.698
1419393,02,524.453
1881333,02,1254.925
1419393,02,957.36
1610560,02,781.966
1499546,03,641.476
1419393,03,512.002
1610560,03,1076.142
1610560,03,836.654
1610560,03,668.842
1480940,03,1258.869
1480940,03,515.005
1610560,03,501.969
1572838,03,923.908
1610560,03,592.83
1610560,03,885.733
1610560,03,839.667
1272120,03,1354.123
1610560,03,939.715
1419393,03,1332.653
1610560,03,1063.692
1610560,03,515.682
1272120,03,1131.779
1272120,03,1215.369
1272120,03,1184.33
1272120,03,546.969
1606749,03,564.265
1610560,03,1055.319
1419393,03,714.95
1610560,03,1253.188
1419393,03,662.849
1610560,03,1241.625
1610560,03,489.878
1419393,03,1278.969
1610560,03,946.133
1610560,03,501.645
1610560,03,1131.825
1419393,03,516.253
1419393,03,663.311
1606749,03,872.167
1419393,03,1146.738
1610560,03,488.622
1610560,03,1340.669
1419393,03,1001.907
1542186,03,977.617
1272120,03,1168.996
1610560,03,786.344
1272120,03,531.341
1419393,03,1123.697
1319745,03,1165.624
1610560,03,490.511
1610560,03,1144.696
1610560,03,519.639
1610560,03,1335.584
1272120,03,1234.847
1272120,03,1071.285
1376469,03,858.02
1272120,03,793.085
1419393,03,883.118
1419393,03,471.903
1610560,03,591.335
1499546,03,1022.446
1272120,03,472.547
1419393,03,1046.768
1610560,03,745.288
1610560,03,1142.997
1610560,03,454.689
1610560,03,619.018
1610560,03,648.749
1419393,03,815.256
1610560,03,933.423
1610560,03,488.117
1499546,03,956.242
1606749,03,1078.235
1352226,03,1207.617
1610560,03,480.481
1606749,03,1353.825
1610560,03,1033.221
1610560,03,1164.147
1610560,04,818.463
1610560,04,866.961
1272120,04,524.349
1419393,04,1205.845
1610560,04,700.439
1419393,04,480.464
1610560,04,1087.596
1419393,04,1205.106
1610560,04,585.037
1610560,04,563.964
1272120,04,863.319
1272120,04,1138.766
1610560,04,643.277
1610560,04,540.011
1610560,04,1306.077
1419393,04,1075.971
1610560,04,649.772
1610560,04,951.4
1610560,04,968.272
1610560,04,852.66
1610560,04,726.558
1272120,04,1224.834
1610560,04,790.279
1601122,04,972.108
1601122,04,666.46
1610560,04,914.974
1610560,04,885.126
1419393,04,543.658
1881333,04,1209.719
1610560,04,1010.19
1610560,04,841.876
1272120,04,707.37
1499546,04,556.057
1610560,04,1103.734
1610560,04,1017.17
1499546,04,1209.074
1610560,04,1213.138
1583504,04,814.78
1610560,04,473.211
1594714,04,1280.905
1610560,04,1277.86
1272120,04,1244.935
1610560,04,903.176
1610560,04,912.308
1272120,04,1215.324
1610560,04,1276.737
1272120,04,1312.067
1419393,04,836.052
1499546,04,788.796
1352226,05,1224.06
1610560,05,707.413
1610560,05,881.12
1272120,05,642.585
1499546,05,651.334
1272120,05,903.314
1610560,05,1132.036
1610560,05,1120.327
1610560,05,881.936
1272120,05,964.1
1610560,05,1174.217
1606749,05,1031.555
1610560,05,587.396
1610560,05,564.2
1272120,05,498.201
1610560,05,1000.566
1610560,05,777.508
1233536,05,1282.134
1272120,05,837.648
1610560,05,1347.916
1610560,05,829.103
1183911,05,515.705
1272120,05,1142.347
1610560,05,1144.823
1272120,05,1074.019
1610560,05,664.712
1610560,05,928.965
1610560,05,996.695
1419393,05,982.396
1610560,05,955.153
1272120,05,533.294
1610560,05,1286.455
1881333,05,477.913
1610560,05,831.095
1228164,05,1050.366
1078639,05,1015.796
1262766,05,891.128
1419393,05,793.888
1272120,05,838.057
1610560,05,1156.346
1881333,05,574.005
1610560,05,1222.624
1228164,05,1103.603
1610560,05,463.254
1419393,05,1233.045
1352226,05,724.149
1352226,05,783.621
1610560,05,932.179
1610560,05,1249.152
1610560,05,992.934
1610560,05,714.5
1272120,05,1081.498
1610560,05,631.099
1606749,05,1110.532
1610560,05,1153.865
1419393,05,556.181
